description,category
Salary TCS ONLINE PAYMENT,Salary
AUTO DEBIT LIC Premium,Investment
POS Infosys Payroll MUMBAI,Salary
Hospital ONLINE PAYMENT,Health & Fitness
AUTO DEBIT Hostel Fee,Rent
UPI/Uber/HDFC,Travel
UPI/Pharmeasy/HDFC,Health & Fitness
AUTO DEBIT Dominos,Food & Drink
UPI/Indigo/HDFC,Travel
POS Airtel MUMBAI,Utilities
AUTO DEBIT Tata Sky,Utilities
AUTO DEBIT Wipro Salary,Salary
UPI/House Rent/HDFC,Rent
Groww ONLINE PAYMENT,Investment
NEFT - Infosys Payroll,Salary
AUTO DEBIT Infosys Payroll,Salary
AUTO DEBIT Gas,Utilities
POS Hostel Fee MUMBAI,Rent
UPI/Metro Recharge/HDFC,Travel
POS Zomato MUMBAI,Food & Drink
POS Hospital MUMBAI,Health & Fitness
POS DMart MUMBAI,Shopping
Hostel Fee ONLINE PAYMENT,Rent
AUTO DEBIT Steam,Entertainment
UPI/Tata Sky/HDFC,Utilities
POS HDFC Securities MUMBAI,Investment
AUTO DEBIT Tech Mahindra,Salary
NEFT - Landlord Payment,Rent
POS Flipkart MUMBAI,Shopping
Cafe Coffee Day ONLINE PAYMENT,Food & Drink
AUTO DEBIT Jio,Utilities
POS Landlord Payment MUMBAI,Rent
NEFT - HDFC Securities,Investment
AUTO DEBIT Apartment Maintenance,Rent
NEFT - Water Bill,Utilities
Netflix ONLINE PAYMENT,Entertainment
NEFT - Reliance Digital,Shopping
NEFT - Jio,Utilities
UPI/Jio/HDFC,Utilities
POS Reliance Digital MUMBAI,Shopping
NEFT - BookMyShow,Entertainment
NEFT - Netflix,Entertainment
UPI/Infosys Payroll/HDFC,Salary
POS MakeMyTrip MUMBAI,Travel
AUTO DEBIT Spotify,Entertainment
UPI/Gym Membership/HDFC,Health & Fitness
Swiggy ONLINE PAYMENT,Food & Drink
BookMyShow ONLINE PAYMENT,Entertainment
NEFT - Apollo Pharmacy,Health & Fitness
POS Steam MUMBAI,Entertainment
AUTO DEBIT Broadband,Utilities
Gas ONLINE PAYMENT,Utilities
AUTO DEBIT Electricity Bill,Utilities
UPI/Mutual Fund SIP/HDFC,Investment
AUTO DEBIT DMart,Shopping
NEFT - Flipkart,Shopping
UPI/Swiggy/HDFC,Food & Drink
AUTO DEBIT KFC,Food & Drink
NEFT - PVR Cinemas,Entertainment
UPI/Spotify/HDFC,Entertainment
POS Prime Video MUMBAI,Entertainment
AUTO DEBIT Reliance Digital,Shopping
AUTO DEBIT IRCTC,Travel
UPI/KFC/HDFC,Food & Drink
NEFT - Hostel Fee,Rent
AUTO DEBIT Apollo Pharmacy,Health & Fitness
POS Groww MUMBAI,Investment
POS Gym Membership MUMBAI,Health & Fitness
Airtel ONLINE PAYMENT,Utilities
UPI/McDonalds/HDFC,Food & Drink
NEFT - Swiggy,Food & Drink
POS Water Bill MUMBAI,Utilities
AUTO DEBIT Mutual Fund SIP,Investment
AUTO DEBIT PVR Cinemas,Entertainment
Zomato ONLINE PAYMENT,Food & Drink
UPI/Flipkart/HDFC,Shopping
UPI/Amazon/HDFC,Shopping
POS Petrol Pump MUMBAI,Travel
Electricity Bill ONLINE PAYMENT,Utilities
AUTO DEBIT Ola,Travel
Dominos ONLINE PAYMENT,Food & Drink
AUTO DEBIT Amazon,Shopping
BigBasket ONLINE PAYMENT,Shopping
Pharmeasy ONLINE PAYMENT,Health & Fitness
UPI/Groww/HDFC,Investment
NEFT - Gym Membership,Health & Fitness
Uber ONLINE PAYMENT,Travel
AUTO DEBIT Groww,Investment
AUTO DEBIT Petrol Pump,Travel
NEFT - Zerodha,Investment
UPI/Starbucks/HDFC,Food & Drink
NEFT - MakeMyTrip,Travel
AUTO DEBIT Starbucks,Food & Drink
Wipro Salary ONLINE PAYMENT,Salary
POS Uber MUMBAI,Travel
UPI/Electricity Bill/HDFC,Utilities
NEFT - Indigo,Travel
UPI/MakeMyTrip/HDFC,Travel
UPI/Airtel/HDFC,Utilities
NEFT - KFC,Food & Drink
POS PVR Cinemas MUMBAI,Entertainment
Amazon ONLINE PAYMENT,Shopping
POS Broadband MUMBAI,Utilities
Zara ONLINE PAYMENT,Shopping
DMart ONLINE PAYMENT,Shopping
NEFT - McDonalds,Food & Drink
IRCTC ONLINE PAYMENT,Travel
NEFT - Petrol Pump,Travel
UPI/Petrol Pump/HDFC,Travel
AUTO DEBIT Swiggy,Food & Drink
POS McDonalds MUMBAI,Food & Drink
POS Metro Recharge MUMBAI,Travel
NEFT - Cafe Coffee Day,Food & Drink
AUTO DEBIT Flipkart,Shopping
NEFT - Mutual Fund SIP,Investment
HDFC Securities ONLINE PAYMENT,Investment
Prime Video ONLINE PAYMENT,Entertainment
POS Amazon MUMBAI,Shopping
AUTO DEBIT Cult Fit,Health & Fitness
NEFT - Ola,Travel
LIC Premium ONLINE PAYMENT,Investment
UPI/HDFC Securities/HDFC,Investment
AUTO DEBIT Zomato,Food & Drink
AUTO DEBIT Airtel,Utilities
KFC ONLINE PAYMENT,Food & Drink
POS IRCTC MUMBAI,Travel
Spotify ONLINE PAYMENT,Entertainment
UPI/Zerodha/HDFC,Investment
AUTO DEBIT Uber,Travel
AUTO DEBIT Indigo,Travel
AUTO DEBIT BookMyShow,Entertainment
Tata Sky ONLINE PAYMENT,Utilities
Metro Recharge ONLINE PAYMENT,Travel
NEFT - Myntra,Shopping
UPI/Gas/HDFC,Utilities
AUTO DEBIT Zerodha,Investment
UPI/Cafe Coffee Day/HDFC,Food & Drink
MakeMyTrip ONLINE PAYMENT,Travel
UPI/PVR Cinemas/HDFC,Entertainment
NEFT - House Rent,Rent
UPI/Dominos/HDFC,Food & Drink
UPI/BookMyShow/HDFC,Entertainment
POS Spotify MUMBAI,Entertainment
UPI/Security Deposit/AXIS,Rent
UPI/Angel Broking/CANARA,Investment
Zoho Corporation ONLINE PAYMENT,Salary
UPI/BSES Bill/CANARA,Utilities
BSNL ONLINE PAYMENT,Utilities
UPI/Maintenance Charge/CANARA,Rent
UPI/Apartment Rent/AXIS,Rent
UPI/Paytm Money SIP/FEDERAL,Investment
UPI/PG Rent/AXIS,Rent
Nykaa ONLINE PAYMENT,Shopping
POS Starbucks LUCKNOW,Food & Drink
POS Saravana Bhavan INDORE,Food & Drink
UPI/Fitness First/BOB,Health & Fitness
NACH SIP Investment,Investment
UPI/TPDDL Bill/FEDERAL,Utilities
HCL Technologies ONLINE PAYMENT,Salary
UPI/Mutual Fund SIP/SBI,Investment
UPI/Studio Rent/CANARA,Rent
POS Haldirams JAIPUR,Food & Drink
POS Saravana Bhavan CHENNAI,Food & Drink
UPI/Indane Gas/KOTAK,Utilities
UPI/Swiggy/PNB,Food & Drink
POS McDonald's PUNE,Food & Drink
POS Chai Point GURGAON,Food & Drink
UPI/ixigo/KOTAK,Travel
POS Thyrocare HYDERABAD,Health & Fitness
Myntra Salary ONLINE PAYMENT,Salary
Cognizant ONLINE PAYMENT,Salary
POS Paradise Biryani LUCKNOW,Food & Drink
AUTO DEBIT Groww SIP,Investment
Sony LIV ONLINE PAYMENT,Entertainment
NACH RD Installment,Investment
BigBasket Now ONLINE PAYMENT,Food & Drink
UPI/Netflix/YES,Entertainment
UPI/Ludo King Premium/CANARA,Entertainment
Paytm Salary ONLINE PAYMENT,Salary
POS Max Hospital LUCKNOW,Health & Fitness
POS BookMyShow KOLKATA,Entertainment
POS Westside DELHI,Shopping
NACH Housing Loan EMI,Rent
UPI/Groww/SBI,Investment
PhonePe ONLINE PAYMENT,Salary
Meesho Salary ONLINE PAYMENT,Salary
UPI/Path Lab/ICICI,Health & Fitness
Vi Vodafone ONLINE PAYMENT,Utilities
The Man Company ONLINE PAYMENT,Shopping
UPI/BPCL Fuel/PNB,Travel
NEFT - Rent May,Rent
UPI/BSES Bill/KOTAK,Utilities
IMPS/Rent Payment/YES,Rent
NEFT - Monthly Rent,Rent
UPI/BESCOM Bill/BOB,Utilities
UPI/Groww/YES,Investment
UPI/Zomato/AXIS,Food & Drink
Oziva ONLINE PAYMENT,Health & Fitness
POS Barbeque Nation HYDERABAD,Food & Drink
AUTO DEBIT Audible,Entertainment
POS Chai Point BENGALURU,Food & Drink
Wipro ONLINE PAYMENT,Salary
POS BookMyShow SURAT,Entertainment
UPI/Ajio/SBI,Shopping
UPI/OYO Rooms/YES,Travel
PharmEasy ONLINE PAYMENT,Health & Fitness
POS Reliance Digital GURGAON,Shopping
UPI/PharmEasy/ICICI,Health & Fitness
POS Nykaa AHMEDABAD,Shopping
UPI/Myntra/ICICI,Shopping
UPI/Yoga Class/CANARA,Health & Fitness
IMPS/Rent Payment/ICICI,Rent
NEFT - Rent Oct,Rent
AUTO DEBIT Airtel Postpaid,Utilities
POS PVR Cinemas BENGALURU,Entertainment
UPI/Upstox/PNB,Investment
UPI/BookMyShow/FEDERAL,Entertainment
NACH PPF Deposit,Investment
UPI/Ajio/BOB,Shopping
UPI/Jio Recharge/PNB,Utilities
UPI/ChaatWala/FEDERAL,Food & Drink
UPI/Zerodha/BOB,Investment
POS McDonald's SURAT,Food & Drink
UPI/Indane Gas/HDFC,Utilities
Upstox ONLINE PAYMENT,Investment
UPI/Society Maintenance/CANARA,Utilities
UPI/FastTag Toll/PNB,Travel
Swiggy Salary ONLINE PAYMENT,Salary
Akasa Air ONLINE PAYMENT,Travel
POS Fassos PUNE,Food & Drink
UPI/Mutual Fund SIP/YES,Investment
NACH Home Loan ICICI,Rent
Gaana Plus ONLINE PAYMENT,Entertainment
Vistara Airlines ONLINE PAYMENT,Travel
Capgemini ONLINE PAYMENT,Salary
UPI/TCS/HDFC,Salary
EY India ONLINE PAYMENT,Salary
UPI/PharmEasy/SBI,Health & Fitness
AUTO DEBIT JioCinema,Entertainment
Tata Consultancy Services ONLINE PAYMENT,Salary
HealthifyMe ONLINE PAYMENT,Health & Fitness
ET Money SIP ONLINE PAYMENT,Investment
UPI/Path Lab/PNB,Health & Fitness
AUTO DEBIT ZEE5,Entertainment
Goibibo ONLINE PAYMENT,Travel
POS Adidas KOLKATA,Shopping
UPI/Apartment Rent/YES,Rent
AUTO DEBIT YouTube Premium,Entertainment
POS Adidas INDORE,Shopping
Ola Salary ONLINE PAYMENT,Salary
UPI/Hostel Rent/AXIS,Rent
UPI/YouTube Premium/BOB,Entertainment
UPI/Dunzo/PNB,Food & Drink
UPI/House Rent/CANARA,Rent
UPI/Ajio/KOTAK,Shopping
UPI/FastTag Toll/YES,Travel
Tata CLiQ ONLINE PAYMENT,Shopping
POS Barbeque Nation INDORE,Food & Drink
Bewakoof ONLINE PAYMENT,Shopping
POS Cafe Coffee Day HYDERABAD,Food & Drink
NEFT - Ola Cabs,Travel
POS Parking Fee AHMEDABAD,Travel
NEFT - IndiGo Airlines,Travel
UPI/Navi MF/KOTAK,Investment
POS Starbucks BHOPAL,Food & Drink
UPI/Gold's Gym/HDFC,Health & Fitness
POS Westside PUNE,Shopping
POS Zara KOLKATA,Shopping
UPI/PharmEasy/KOTAK,Health & Fitness
POS Decathlon GURGAON,Shopping
UPI/House Rent/KOTAK,Rent
UPI/BSNL Recharge/BOB,Utilities
Amazon India ONLINE PAYMENT,Salary
POS Medplus AHMEDABAD,Health & Fitness
UPI/Snapdeal/PNB,Shopping
POS MTR Restaurant KOLKATA,Food & Drink
UPI/Zomato/PNB,Food & Drink
UPI/Canteen/ICICI,Food & Drink
UPI/PPF Contribution/PNB,Investment
UPI/Path Lab/CANARA,Health & Fitness
MyFitnessPal Premium ONLINE PAYMENT,Health & Fitness
AUTO DEBIT Amazon Prime Video,Entertainment
POS Spencer's HYDERABAD,Shopping
INDmoney SIP ONLINE PAYMENT,Investment
UPI/Groww/BOB,Investment
POS Honest Restaurant DELHI,Food & Drink
POS Chai Point SURAT,Food & Drink
UPI/HPCL Petrol Pump/YES,Travel
UPI/OYO Life Rent/FEDERAL,Rent
UPI/Zostel/BOB,Travel
NEFT - Hotstar,Entertainment
UPI/Piped Gas MGL/CANARA,Utilities
UPI/Water Bill/AXIS,Utilities
POS MTR Restaurant INDORE,Food & Drink
POS INOX Movies AHMEDABAD,Entertainment
AUTO DEBIT Apple Music,Entertainment
UPI/Kuvera MF/BOB,Investment
CoLive ONLINE PAYMENT,Rent
Redcliffe Labs ONLINE PAYMENT,Health & Fitness
UPI/Vi Recharge/ICICI,Utilities
POS Chaayos KOLKATA,Food & Drink
Practo ONLINE PAYMENT,Health & Fitness
NACH NPS Contribution,Investment
POS Apple Store MUMBAI,Shopping
UPI/Myntra/FEDERAL,Shopping
UPI/Maintenance Charge/KOTAK,Rent
POS PVR Cinemas JAIPUR,Entertainment
POS Escape Room JAIPUR,Entertainment
AUTO DEBIT Gold Bond SIP,Investment
Flipkart ONLINE PAYMENT,Shopping
UPI/Bharat Gas/CANARA,Utilities
NEFT - Amazon Prime,Entertainment
POS Manipal Hospital BENGALURU,Health & Fitness
POS Netmeds HYDERABAD,Health & Fitness
POS Max Hospital GURGAON,Health & Fitness
UPI/IRCTC/KOTAK,Travel
AUTO DEBIT Zomato Gold,Food & Drink
Meesho ONLINE PAYMENT,Shopping
UPI/Groww/FEDERAL,Investment
POS Bowling Alley NOIDA,Entertainment
BYJU's ONLINE PAYMENT,Salary
NEFT - Landlord Transfer,Rent
AUTO DEBIT Cleartrip,Travel
UPI/TPDDL Bill/BOB,Utilities
Coin Zerodha MF ONLINE PAYMENT,Investment
UPI/FastTag Toll/CANARA,Travel
IBM India ONLINE PAYMENT,Salary
UPI/Doctor Consultation/YES,Health & Fitness
UPI/Studio Rent/ICICI,Rent
Freshworks ONLINE PAYMENT,Salary
UPI/Stanza Living/ICICI,Rent
UPI/MFine/CANARA,Health & Fitness
UPI/MakeMyTrip/ICICI,Travel
Zomato Salary ONLINE PAYMENT,Salary
UPI/FastTag Toll/HDFC,Travel
POS Thyrocare AHMEDABAD,Health & Fitness
UPI/PPF Contribution/CANARA,Investment
Deloitte India ONLINE PAYMENT,Salary
Tata Play ONLINE PAYMENT,Utilities
UPI/Yoga Class/HDFC,Health & Fitness
Stanza Living ONLINE PAYMENT,Rent
Flipkart India ONLINE PAYMENT,Salary
UPI/Amazon/AXIS,Shopping
POS Taj Hotels INDORE,Travel
POS Naturals Ice Cream GURGAON,Food & Drink
POS Wow Momo KOLKATA,Food & Drink
Zepto ONLINE PAYMENT,Food & Drink
POS Pizza Hut BENGALURU,Food & Drink
KPMG India ONLINE PAYMENT,Salary
UPI/Accenture/FEDERAL,Salary
UPI/Hostel Rent/CANARA,Rent
POS Naturals Ice Cream HYDERABAD,Food & Drink
UPI/Moj Premium/HDFC,Entertainment
UPI/Fixed Deposit/SBI,Investment
POS Adidas NOIDA,Shopping
UPI/PharmEasy/BOB,Health & Fitness
UPI/IRCTC/AXIS,Travel
POS Amazon NOIDA,Shopping
UPI/Jio Recharge/HDFC,Utilities
UPI/Meesho/BOB,Shopping
POS BookMyShow INDORE,Entertainment
AUTO DEBIT ELSS SIP,Investment
POS Croma PUNE,Shopping
UPI/Steam Games/AXIS,Entertainment
UPI/MFine/ICICI,Health & Fitness
POS BookMyShow CHENNAI,Entertainment
UPI/TiffinWala/ICICI,Food & Drink
UPI/OYO Life Rent/ICICI,Rent
POS Escape Room AHMEDABAD,Entertainment
POS Medplus BENGALURU,Health & Fitness
AUTO DEBIT Broadband Bill,Utilities
NEFT - Blinkit Food,Food & Drink
AUTO DEBIT ACT Fibernet,Utilities
UPI/Airtel Recharge/SBI,Utilities
AUTO DEBIT Jio Postpaid,Utilities
Air India ONLINE PAYMENT,Travel
UPI/Netflix/FEDERAL,Entertainment
POS Apollo Hospital PUNE,Health & Fitness
UPI/Netflix/AXIS,Entertainment
NEFT - Cure Fit,Health & Fitness
UPI/Airtel Xstream Fiber/BOB,Utilities
POS Amazon CHENNAI,Shopping
UPI/FoodStall/PNB,Food & Drink
UPI/PVR Cinemas/FEDERAL,Entertainment
Angel One ONLINE PAYMENT,Investment
POS Uniqlo BENGALURU,Shopping
AUTO DEBIT FastTag NHAI,Travel
POS Nike BHOPAL,Shopping
UPI/OYO Life Rent/CANARA,Rent
UPI/LIC Premium/CANARA,Investment
POS Keventers LUCKNOW,Food & Drink
UPI/Groww/KOTAK,Investment
POS Westside LUCKNOW,Shopping
UPI/Navi MF/HDFC,Investment
Apartment Rent ONLINE PAYMENT,Rent
UPI/RedBus/YES,Travel
UPI/CrossFit/AXIS,Health & Fitness
UPI/Groww/PNB,Investment
UPI/Vi Recharge/CANARA,Utilities
UPI/IRCTC/BOB,Travel
UPI/MSEDCL Bill/BOB,Utilities
UPI/Indane Gas/SBI,Utilities
UPI/Water Bill/CANARA,Utilities
UPI/Meesho/SBI,Shopping
UPI/Goibibo/HDFC,Travel
AUTO DEBIT Sony LIV,Entertainment
UPI/Co-living Rent/AXIS,Rent
POS Fassos DELHI,Food & Drink
UPI/Society Fee/YES,Rent
UPI/MakeMyTrip/AXIS,Travel
POS Nike LUCKNOW,Shopping
Ajio ONLINE PAYMENT,Shopping
Lybrate ONLINE PAYMENT,Health & Fitness
ZEE5 ONLINE PAYMENT,Entertainment
SpiceJet ONLINE PAYMENT,Travel
UPI/Piped Gas MGL/ICICI,Utilities
Infosys ONLINE PAYMENT,Salary
UPI/BSNL Recharge/AXIS,Utilities
UPI/Canteen/CANARA,Food & Drink
POS Myntra BENGALURU,Shopping
NACH Sukanya Samriddhi,Investment
UPI/Fixed Deposit/PNB,Investment
UPI/LIC Premium/PNB,Investment
POS Burger King AHMEDABAD,Food & Drink
UPI/Narayana Health/CANARA,Health & Fitness
AUTO DEBIT NPS SBI,Investment
Airbnb ONLINE PAYMENT,Travel
UPI/OYO Rooms/PNB,Travel
UPI/CrossFit/KOTAK,Health & Fitness
UPI/Swiggy/FEDERAL,Food & Drink
AUTO DEBIT Swiggy One,Food & Drink
POS Himalaya Store AHMEDABAD,Health & Fitness
POS Marriott INDORE,Travel
UPI/Studio Rent/HDFC,Rent
POS Parking Fee GURGAON,Travel
POS Zara JAIPUR,Shopping
UPI/Tech Mahindra/YES,Salary
POS Saravana Bhavan MUMBAI,Food & Drink
POS Uniqlo HYDERABAD,Shopping
POS INOX Movies KOLKATA,Entertainment
UPI/Practo/BOB,Health & Fitness
AUTO DEBIT Dish TV,Utilities
UPI/PPF Contribution/KOTAK,Investment
UPI/PG Rent/FEDERAL,Rent
UPI/Hostel Rent/HDFC,Rent
POS IndianOil Petrol Pump DELHI,Travel
UPI/Society Maintenance/SBI,Utilities
UPI/BPCL Fuel/SBI,Travel
UPI/Airtel Recharge/BOB,Utilities
UPI/Water Bill/ICICI,Utilities
POS Big Bazaar DELHI,Shopping
POS Taj Hotels AHMEDABAD,Travel
UPI/Hostel Rent/KOTAK,Rent
UPI/LIC Premium/BOB,Investment
POS KFC SURAT,Food & Drink
UPI/Maintenance Charge/HDFC,Rent
POS Adidas BHOPAL,Shopping
POS Haldirams INDORE,Food & Drink
UPI/LIC Premium/YES,Investment
UPI/Rapido Bike/YES,Travel
1mg ONLINE PAYMENT,Health & Fitness
Unacademy ONLINE PAYMENT,Salary
UPI/Upstox/AXIS,Investment
UPI/HPCL Petrol Pump/KOTAK,Travel
UPI/Water Bill/SBI,Utilities
UPI/Dunzo/BOB,Food & Drink
POS Medplus CHENNAI,Health & Fitness
AUTO DEBIT Home Loan EMI HDFC,Rent
POS Myntra LUCKNOW,Shopping
POS Adidas SURAT,Shopping
POS Cult Fit BENGALURU,Health & Fitness
UPI/LPG Cylinder HP/KOTAK,Utilities
POS Spencer's SURAT,Shopping
UPI/Accenture/KOTAK,Salary
UPI/Fixed Deposit/FEDERAL,Investment
UPI/Fitness First/ICICI,Health & Fitness
POS Bowling Alley JAIPUR,Entertainment
CESC Electricity ONLINE PAYMENT,Utilities
UPI/Co-living Rent/HDFC,Rent
UPI/ixigo/BOB,Travel
UPI/TPDDL Bill/KOTAK,Utilities
UPI/ChaatWala/ICICI,Food & Drink
AUTO DEBIT Jio Fiber,Utilities
Yatra ONLINE PAYMENT,Travel
AUTO DEBIT Health Insurance Premium,Health & Fitness
POS Barbeque Nation BENGALURU,Food & Drink
UPI/Ajio/ICICI,Shopping
POS Adidas AHMEDABAD,Shopping
POS Fortis Hospital BENGALURU,Health & Fitness
POS Nykaa DELHI,Shopping
UPI/BSES Bill/HDFC,Utilities
POS Subway GURGAON,Food & Drink
POS Third Wave Coffee DELHI,Food & Drink
NestAway ONLINE PAYMENT,Rent
UPI/IGL Gas Bill/BOB,Utilities
Razorpay ONLINE PAYMENT,Salary
UPI/IGL Gas Bill/PNB,Utilities
UPI/Goibibo/ICICI,Travel
POS Apollo Pharmacy HYDERABAD,Health & Fitness
POS PVR Cinemas NOIDA,Entertainment
UPI/Piped Gas MGL/SBI,Utilities
UPI/ixigo/AXIS,Travel
POS Uniqlo MUMBAI,Shopping
UPI/Netflix/HDFC,Entertainment
POS Himalaya Store SURAT,Health & Fitness
POS Thyrocare LUCKNOW,Health & Fitness
Boat Lifestyle ONLINE PAYMENT,Shopping
POS Parking Fee BENGALURU,Travel
UPI/ixigo/SBI,Travel
POS Naturals Ice Cream BHOPAL,Food & Drink
AbhiBus ONLINE PAYMENT,Travel
POS Star Bazaar LUCKNOW,Shopping
POS Manipal Hospital GURGAON,Health & Fitness
NACH LIC Premium,Investment
UPI/Tech Mahindra/FEDERAL,Salary
UPI/Accenture/CANARA,Salary
POS Pizza Hut NOIDA,Food & Drink
UPI/Airtel Xstream Fiber/YES,Utilities
UPI/TPDDL Bill/PNB,Utilities
UPI/Society Maintenance/BOB,Utilities
UPI/BookMyShow/ICICI,Entertainment
UPI/Studio Rent/SBI,Rent
UPI/PVR Cinemas/KOTAK,Entertainment
UPI/Fixed Deposit/BOB,Investment
POS Apartment Maintenance BENGALURU,Rent
UPI/Paytm Money SIP/PNB,Investment
UPI/BookMyShow/BOB,Entertainment
UPI/PPF Contribution/SBI,Investment
UPI/ChaatWala/PNB,Food & Drink
UPI/Studio Rent/AXIS,Rent
UPI/Accenture/ICICI,Salary
UPI/Gas Bill/FEDERAL,Utilities
POS More Supermarket HYDERABAD,Shopping
POS Fortis Hospital HYDERABAD,Health & Fitness
UPI/Yoga Class/YES,Health & Fitness
UPI/Moj Premium/PNB,Entertainment
UPI/Fitness First/KOTAK,Health & Fitness
UPI/Stanza Living/CANARA,Rent
UPI/FastTag Toll/AXIS,Travel
POS Netmeds MUMBAI,Health & Fitness
POS IndianOil Petrol Pump NOIDA,Travel
POS Zara GURGAON,Shopping
Mamaearth ONLINE PAYMENT,Shopping
POS Spencer's PUNE,Shopping
POS Subway NOIDA,Food & Drink
UPI/Hotstar/BOB,Entertainment
UPI/Maintenance Charge/YES,Rent
POS Paradise Biryani DELHI,Food & Drink
UPI/Lenskart/CANARA,Entertainment
POS Manipal Hospital LUCKNOW,Health & Fitness
UPI/Narayana Health/YES,Health & Fitness
UPI/Nykaa/YES,Shopping
UPI/Kuvera MF/AXIS,Investment
UPI/EaseMyTrip/BOB,Travel
POS Mutual Fund SIP JAIPUR,Investment
UPI/Kuvera MF/ICICI,Investment
POS PVR Cinemas HYDERABAD,Entertainment
UPI/Myntra/BOB,Shopping
